"mesh","umls"
"antigens, differentiation, t-lymphocyte","Immunologic Factor"
"antigens, fungal","Immunologic Factor"
"antigens, helminth","Immunologic Factor"
"antigens, neoplasm","Immunologic Factor"
"antigens, plant","Immunologic Factor"
"antigens, protozoan","Immunologic Factor"
"antigens, surface","Immunologic Factor"
"antigens, viral","Immunologic Factor"
"antigua and barbuda","Geographic Area"
"antihypertensive agents","Pharmacologic Substance"
"antimanic agents","Pharmacologic Substance"
"antinematodal agents","Pharmacologic Substance"
"antineoplastic agents","Organic Chemical"
"antineoplastic agents","Pharmacologic Substance"
"antineoplastic combined chemotherapy protocols","Therapeutic or Preventive Procedure"
"antioxidants","Pharmacologic Substance"
"antiporters","Amino Acid, Peptide, or Protein"
"antiporters","Biologically Active Substance"
"antipsychotic agents","Pharmacologic Substance"
"antipyretics","Pharmacologic Substance"
"antipyrine","Organic Chemical"
"antipyrine","Pharmacologic Substance"
"antiretroviral therapy, highly active","Therapeutic or Preventive Procedure"
"antirheumatic agents","Pharmacologic Substance"
"antisepsis","Therapeutic or Preventive Procedure"
"antisocial personality disorder","Mental or Behavioral Dysfunction"
"antistreptolysin","Immunologic Factor"
"antitubercular agents","Pharmacologic Substance"
"antitussive agents","Pharmacologic Substance"
"antiviral agents","Pharmacologic Substance"
"anxiety","Finding"
"anxiety disorders","Mental or Behavioral Dysfunction"
"anxiety, separation","Mental or Behavioral Dysfunction"
"aorta","Body Part, Organ, or Organ Component"
"aorta, thoracic","Body Part, Organ, or Organ Component"
"aortic aneurysm","Disease or Syndrome"
"aortic arch syndromes","Disease or Syndrome"
"aortic coarctation","Congenital Abnormality"
"aortic valve stenosis","Disease or Syndrome"
"aortography","Diagnostic Procedure"
"apgar score","Organism Attribute"
"apium graveolens","Plant"
"apnea","Pathologic Function"
"apolipoprotein a-i","Amino Acid, Peptide, or Protein"
"apolipoprotein a-i","Biologically Active Substance"
"apolipoproteins","Amino Acid, Peptide, or Protein"
"apolipoproteins","Biologically Active Substance"
"apolipoproteins b","Amino Acid, Peptide, or Protein"
"apolipoproteins b","Biologically Active Substance"
"apoproteins","Amino Acid, Peptide, or Protein"
"apoproteins","Biologically Active Substance"
"apoptosis","Cell Function"
"appendectomy","Therapeutic or Preventive Procedure"
"appendicitis","Disease or Syndrome"
"appetite","Organism Function"
"appointments and schedules","Temporal Concept"
"apraxias","Mental or Behavioral Dysfunction"
"aptitude","Mental Process"
"aptitude tests","Diagnostic Procedure"
"arabia","Geographic Area"
"arabs","Population Group"
"arachidonate 12-lipoxygenase","Amino Acid, Peptide, or Protein"
"arachidonate 12-lipoxygenase","Enzyme"
"arachidonate 15-lipoxygenase","Amino Acid, Peptide, or Protein"
"arachidonate 15-lipoxygenase","Enzyme"
"arachidonate 5-lipoxygenase","Amino Acid, Peptide, or Protein"
"arachidonate 5-lipoxygenase","Enzyme"
"arachidonic acid","Organic Chemical"
"arachidonic acids","Organic Chemical"
"arachis","Plant"
"architecture as topic","Occupation or Discipline"
"arctic regions","Geographic Area"
"area under curve","Quantitative Concept"
"argentina","Geographic Area"
"arginase","Amino Acid, Peptide, or Protein"
"arginase","Enzyme"
"arginine","Amino Acid, Peptide, or Protein"
"arginine","Biologically Active Substance"
"arginine","Pharmacologic Substance"
"arginine vasopressin","Amino Acid, Peptide, or Protein"
"arginine vasopressin","Hormone"
"arginine vasopressin","Pharmacologic Substance"
"argon","Element, Ion, or Isotope"
"aripiprazole","Organic Chemical"
"aripiprazole","Pharmacologic Substance"
"arizona","Geographic Area"
"arkansas","Geographic Area"
"arm","Geographic Area"
"arm injuries","Injury or Poisoning"
"arousal","Mental Process"
"arrhythmia, sinus","Finding"
"arrhythmias, cardiac","Finding"
"art","Occupation or Discipline"
"art therapy","Therapeutic or Preventive Procedure"
"artemisia","Plant"
"arterial occlusive diseases","Disease or Syndrome"
"arterial pressure","Organ or Tissue Function"
"arteries","Body Part, Organ, or Organ Component"
"arteriosclerosis","Disease or Syndrome"
"arteriovenous fistula","Anatomical Abnormality"
"arteriovenous malformations","Congenital Abnormality"
"arteritis","Pathologic Function"
"arthritis","Disease or Syndrome"
"arthritis, infectious","Disease or Syndrome"
"arthritis, juvenile","Disease or Syndrome"
"arthritis, rheumatoid","Disease or Syndrome"
"arthrodermataceae","Fungus"
"arthropod proteins","Amino Acid, Peptide, or Protein"
"arthropod venoms","Biologically Active Substance"
"arthropod venoms","Hazardous or Poisonous Substance"
"arthus reaction","Disease or Syndrome"
"artifacts","Human-caused Phenomenon or Process"
"artificial intelligence","Occupation or Discipline"
"aryl hydrocarbon hydroxylases","Amino Acid, Peptide, or Protein"
"aryl hydrocarbon hydroxylases","Enzyme"
"arylamine n-acetyltransferase","Amino Acid, Peptide, or Protein"
"arylamine n-acetyltransferase","Enzyme"
"aryldialkylphosphatase","Amino Acid, Peptide, or Protein"
"aryldialkylphosphatase","Enzyme"
"arylsulfatases","Amino Acid, Peptide, or Protein"
"arylsulfatases","Enzyme"
"arylsulfonates","Organic Chemical"
"arytenoid cartilage","Body Part, Organ, or Organ Component"
"ascariasis","Disease or Syndrome"
"ascaridiasis","Disease or Syndrome"
"ascaris","Eukaryote"
"ascaris lumbricoides","Eukaryote"
"ascaris suum","Eukaryote"
"ascitic fluid","Body Substance"
"ascomycota","Fungus"
"ascorbic acid","Organic Chemical"
"ascorbic acid","Pharmacologic Substance"
"ascorbic acid","Vitamin"
"ascorbic acid deficiency","Disease or Syndrome"
"asia","Geographic Area"
"asia, southeastern","Geographic Area"
"asia, western","Geographic Area"
"asian americans","Population Group"
"asian continental ancestry group","Population Group"
"aspartame","Amino Acid, Peptide, or Protein"
"aspartame","Pharmacologic Substance"
"aspartate aminotransferases","Amino Acid, Peptide, or Protein"
"aspartate aminotransferases","Enzyme"
"aspartic acid endopeptidases","Amino Acid, Peptide, or Protein"
"aspartic acid endopeptidases","Enzyme"
"asperger syndrome","Mental or Behavioral Dysfunction"
"aspergillosis","Disease or Syndrome"
"aspergillosis, allergic bronchopulmonary","Disease or Syndrome"
"aspergillus","Fungus"
"aspergillus fumigatus","Fungus"
"aspergillus niger","Fungus"
"asphyxia","Pathologic Function"
"asphyxia neonatorum","Disease or Syndrome"
"aspirations (psychology)","Mental Process"
"aspirin","Organic Chemical"
"aspirin","Pharmacologic Substance"
"assertiveness","Individual Behavior"
"astemizole","Organic Chemical"
"astemizole","Pharmacologic Substance"
"asthma","Disease or Syndrome"
"asthma, aspirin-induced","Disease or Syndrome"
"asthma, exercise-induced","Disease or Syndrome"
"asthma, occupational","Disease or Syndrome"
"astragalus plant","Plant"
"ataxia telangiectasia","Disease or Syndrome"
"atenolol","Organic Chemical"
"atenolol","Pharmacologic Substance"
"atherosclerosis","Disease or Syndrome"
"athetosis","Sign or Symptom"
"athletes","Professional or Occupational Group"
"athletic injuries","Injury or Poisoning"
"athletic performance","Individual Behavior"
"atlantic ocean","Geographic Area"
"atmosphere","Natural Phenomenon or Process"
"atmosphere exposure chambers","Medical Device"
"atmospheric pressure","Natural Phenomenon or Process"
"atomoxetine hydrochloride","Organic Chemical"
"atomoxetine hydrochloride","Pharmacologic Substance"
"atovaquone","Organic Chemical"
"atovaquone","Pharmacologic Substance"
"atp-binding cassette transporters","Amino Acid, Peptide, or Protein"
"atp-binding cassette transporters","Biologically Active Substance"
"atracurium","Organic Chemical"
"atracurium","Pharmacologic Substance"
"atrial fibrillation","Disease or Syndrome"
"atrial function","Organ or Tissue Function"
"atropa belladonna","Plant"
"atrophy","Pathologic Function"
"atropine","Organic Chemical"
"atropine","Pharmacologic Substance"
"atropine derivatives","Organic Chemical"
"atropine derivatives","Pharmacologic Substance"
"attention","Mental Process"
"attention deficit and disruptive behavior disorders","Pathologic Function"
"attention deficit disorder with hyperactivity","Mental or Behavioral Dysfunction"
"attitude","Mental Process"
"attitude of health personnel","Mental Process"
"attitude to computers","Mental Process"
"attitude to death","Mental Process"
"attitude to health","Social Behavior"
"atypical bacterial forms","Bacterium"
"audiometry","Diagnostic Procedure"
"audiovisual aids","Manufactured Object"
"auditory perception","Mental Process"
"auscultation","Diagnostic Procedure"
"australasia","Geographic Area"
"australia","Geographic Area"
"australian capital territory","Geographic Area"
"austria","Geographic Area"
"autacoids","Biologically Active Substance"
"autistic disorder","Mental or Behavioral Dysfunction"
"autoantibodies","Amino Acid, Peptide, or Protein"
"autoantibodies","Immunologic Factor"
"autobiography as topic","Intellectual Product"
"autogenic training","Therapeutic or Preventive Procedure"
"autoimmune diseases","Disease or Syndrome"
"autoimmune diseases of the nervous system","Disease or Syndrome"
"autoimmunity","Disease or Syndrome"
"automatic data processing","Machine Activity"
"automation","Machine Activity"
"automation, laboratory","Machine Activity"
"automobile driving","Daily or Recreational Activity"
"automobiles","Manufactured Object"
"autonomic agents","Pharmacologic Substance"
"autonomic nerve block","Therapeutic or Preventive Procedure"
"autonomic nervous system","Body System"
"autonomic nervous system diseases","Disease or Syndrome"
"autophagy","Cell Function"
"autophagy-related protein 5","Amino Acid, Peptide, or Protein"
"autophagy-related protein 5","Biologically Active Substance"
"autophagy-related protein 7","Amino Acid, Peptide, or Protein"
"autophagy-related protein 7","Enzyme"
"autopsy","Diagnostic Procedure"
"autoradiography","Laboratory Procedure"
"avena","Food"
"avitaminosis","Disease or Syndrome"
"avoidance learning","Mental Process"
"awards and prizes","Manufactured Object"
"awareness","Mental Process"
"aza compounds","Organic Chemical"
"azacitidine","Nucleic Acid, Nucleoside, or Nucleotide"
"azacitidine","Pharmacologic Substance"
"azathioprine","Hazardous or Poisonous Substance"
"azathioprine","Organic Chemical"
"azathioprine","Pharmacologic Substance"
"azerbaijan","Geographic Area"
"azithromycin","Antibiotic"
"azithromycin","Organic Chemical"
"azo compounds","Organic Chemical"
"azores","Geographic Area"
"azulenes","Organic Chemical"
"b-lymphocyte subsets","Intellectual Product"
"b-lymphocytes","Cell"
"bacillus","Bacterium"
"bacillus anthracis","Bacterium"
"bacillus subtilis","Bacterium"
"bacillus thuringiensis","Bacterium"
"back","Body Location or Region"
"back pain","Sign or Symptom"
"bacteremia","Disease or Syndrome"
"bacteria","Bacterium"
"bacteria, anaerobic","Bacterium"
"bacterial adhesion","Organism Function"
"bacterial capsules","Amino Acid, Peptide, or Protein"
"bacterial capsules","Immunologic Factor"
"bacterial infections","Disease or Syndrome"
"bacterial load","Quantitative Concept"
"bacterial outer membrane proteins","Amino Acid, Peptide, or Protein"
"bacterial outer membrane proteins","Biologically Active Substance"
"bacterial physiological phenomena","Natural Phenomenon or Process"
"bacterial proteins","Amino Acid, Peptide, or Protein"
"bacterial proteins","Biologically Active Substance"
"bacterial toxins","Amino Acid, Peptide, or Protein"
"bacterial toxins","Biologically Active Substance"
"bacterial toxins","Hazardous or Poisonous Substance"
"bacterial vaccines","Immunologic Factor"
"bacterial vaccines","Pharmacologic Substance"
"bacteriological techniques","Laboratory Procedure"
"bacteriophage phi x 174","Virus"
"bacteriophage typing","Laboratory Procedure"
"bacteroides fragilis","Bacterium"
"bacteroides infections","Disease or Syndrome"
"balneology","Therapeutic or Preventive Procedure"
"baltimore","Geographic Area"
"bandages","Medical Device"
"bangladesh","Geographic Area"
"barbados","Geographic Area"
"barbering","Occupational Activity"
"barbiturates","Organic Chemical"
"barbiturates","Pharmacologic Substance"
"bariatric surgery","Therapeutic or Preventive Procedure"
"barium","Element, Ion, or Isotope"
"barium sulfate","Indicator, Reagent, or Diagnostic Aid"
"barium sulfate","Inorganic Chemical"
"barotrauma","Injury or Poisoning"
"barrett esophagus","Disease or Syndrome"
"basal ganglia","Body Part, Organ, or Organ Component"
"basal metabolism","Organism Function"
"base composition","Quantitative Concept"
"base pairing","Molecular Function"
"base sequence","Nucleotide Sequence"
"basement membrane","Tissue"
"basic-leucine zipper transcription factors","Amino Acid, Peptide, or Protein"
"basic-leucine zipper transcription factors","Biologically Active Substance"
"basidiomycota","Fungus"
"basketball","Daily or Recreational Activity"
"basophil degranulation test","Laboratory Procedure"
"basophils","Cell"
"baths","Therapeutic or Preventive Procedure"
"bayes theorem","Quantitative Concept"
"bcg vaccine","Immunologic Factor"
"bcg vaccine","Pharmacologic Substance"
"beauty culture","Occupational Activity"
"beclomethasone","Hormone"
"beclomethasone","Organic Chemical"
"beclomethasone","Pharmacologic Substance"
"bed conversion","Health Care Activity"
"bedding and linens","Manufactured Object"
"beds","Manufactured Object"
"bee venoms","Amino Acid, Peptide, or Protein"
"bee venoms","Biologically Active Substance"
"bee venoms","Hazardous or Poisonous Substance"
"bees","Eukaryote"
"beetles","Eukaryote"
"behavior","Behavior"
"behavior control","Therapeutic or Preventive Procedure"
"behavior therapy","Therapeutic or Preventive Procedure"
"behavior, animal","Behavior"
"behavioral medicine","Biomedical Occupation or Discipline"
"behavioral risk factor surveillance system","Health Care Activity"
"behavioral symptoms","Sign or Symptom"
"behcet syndrome","Disease or Syndrome"
"belgium","Geographic Area"
"belize","Geographic Area"
"bell palsy","Disease or Syndrome"
"benchmarking","Quantitative Concept"
"bender-gestalt test","Diagnostic Procedure"
"benzalkonium compounds","Organic Chemical"
"benzalkonium compounds","Pharmacologic Substance"
"benzene","Hazardous or Poisonous Substance"
"benzene","Organic Chemical"
"benzene derivatives","Organic Chemical"
"benzhydryl compounds","Organic Chemical"
"benzimidazoles","Organic Chemical"
"benzoates","Organic Chemical"
"benzocaine","Organic Chemical"
"benzocaine","Pharmacologic Substance"
"benzodiazepines","Organic Chemical"
"benzodiazepines","Pharmacologic Substance"
"benzoic acid","Organic Chemical"
"benzoic acid","Pharmacologic Substance"
"benzopyrans","Organic Chemical"
"benzopyrenes","Hazardous or Poisonous Substance"
"benzopyrenes","Organic Chemical"
"benzyl compounds","Organic Chemical"
"berlin","Geographic Area"
"berylliosis","Injury or Poisoning"
"beryllium","Element, Ion, or Isotope"
"beryllium","Hazardous or Poisonous Substance"
